date,close
2024/01/02,7323.587891
2024/01/03,7279.09082
2024/01/04,7359.763184
2024/01/05,7350.619141
2024/01/08,7283.575195
2024/01/09,7200.203125
2024/01/10,7227.296875
2024/01/11,7219.963867
2024/01/12,7241.138184
2024/01/15,7224.000977
2024/01/16,7242.787109
2024/01/17,7200.634766
2024/01/18,7252.966797
2024/01/19,7227.401855
2024/01/22,7247.928223
2024/01/23,7256.229004
2024/01/24,7227.823242
2024/01/25,7178.041992
2024/01/26,7137.087891
2024/01/29,7157.174805
2024/01/30,7192.21582
2024/01/31,7207.940918
2024/02/01,7201.695801
2024/02/02,7238.785156
2024/02/05,7198.615234
2024/02/06,7247.408203
2024/02/07,7235.151855
2024/02/12,7297.668945
2024/02/13,7209.741211
2024/02/15,7303.280762
2024/02/16,7335.544922
2024/02/19,7296.702148
2024/02/20,7352.601074
2024/02/21,7349.020996
2024/02/22,7339.63623
2024/02/23,7295.095215
2024/02/26,7283.823242
2024/02/27,7285.316895
2024/02/28,7328.63623
2024/02/29,7316.11084
2024/03/01,7311.907227
2024/03/04,7276.749023
2024/03/05,7247.459961
2024/03/06,7329.800781
2024/03/07,7373.963867
2024/03/08,7381.907227
2024/03/13,7421.207031
2024/03/14,7433.314941
2024/03/15,7328.054199
2024/03/18,7302.449219
2024/03/19,7336.746094
2024/03/20,7331.12793
2024/03/21,7338.353027
2024/03/22,7350.151855
2024/03/25,7377.759766
2024/03/26,7365.664063
2024/03/27,7310.091797
2024/03/28,7288.812988
2024/04/01,7205.061035
2024/04/02,7236.983887
2024/04/03,7166.844238
2024/04/04,7254.398926
2024/04/05,7286.881836
2024/04/16,7164.807129
2024/04/17,7130.84082
2024/04/18,7166.813965
2024/04/19,7087.316895
2024/04/22,7073.819824
2024/04/23,7110.812988
2024/04/24,7174.533203
2024/04/25,7155.293945
2024/04/26,7036.075195
2024/04/29,7155.78418
2024/04/30,7234.196777
2024/05/02,7117.424805
2024/05/03,7134.724121
2024/05/06,7135.890137
2024/05/07,7123.611816
2024/05/08,7088.794922
2024/05/13,7099.26123
2024/05/14,7083.763184
2024/05/15,7179.831055
2024/05/16,7246.695801
2024/05/17,7317.237793
2024/05/20,7266.690918
2024/05/21,7186.037109
2024/05/22,7222.381836
2024/05/27,7176.419922
2024/05/28,7253.625977
2024/05/29,7140.229004
2024/05/30,7034.14209
2024/05/31,6970.73584
2024/06/03,7036.190918
2024/06/04,7099.312012
2024/06/05,6947.669922
2024/06/06,6974.896973
2024/06/07,6897.950195
2024/06/10,6921.547852
2024/06/11,6855.690918
2024/06/12,6850.097168
2024/06/13,6831.563965
2024/06/14,6734.832031
2024/06/19,6726.918945
2024/06/20,6819.320801
2024/06/21,6879.978027
2024/06/24,6889.165039
2024/06/25,6882.704102
2024/06/26,6905.64209
2024/06/27,6967.951172
2024/06/28,7063.577148
2024/07/01,7139.625977
2024/07/02,7125.14209
2024/07/03,7196.754883
2024/07/04,7220.88916
2024/07/05,7253.37207
2024/07/08,7250.977051
2024/07/09,7269.800781
2024/07/10,7287.041992
2024/07/11,7300.407227
2024/07/12,7327.580078
2024/07/15,7278.862793
2024/07/16,7224.292969
2024/07/17,7224.217773
2024/07/18,7321.070801
2024/07/19,7294.495117
2024/07/22,7321.976074
2024/07/23,7313.856934
2024/07/24,7262.758789
2024/07/25,7240.276855
